enginesize,curbweight,horsepower,carwidth,drivewheel,highwaympg,citympg,enginelocation,fuelsystem,carlength,price
181,3139,160,67.9,2,25,19,0,5,178.5,18399.0
103,2017,55,63.8,1,50,45,0,3,165.3,7099.0
108,2455,94,65.4,1,31,25,0,5,173.5,10198.0
109,2212,85,65.5,1,34,27,0,5,171.7,8195.0
97,2028,69,63.8,1,37,31,0,1,165.6,7799.0
308,3900,184,71.7,2,16,14,0,5,208.1,40960.0
91,1900,68,64.2,1,38,31,0,1,159.1,6095.0
134,3130,142,68.3,2,24,18,0,5,186.7,18150.0
181,3060,152,66.5,1,25,19,0,5,184.6,13499.0
183,3495,123,70.3,2,25,22,0,3,187.5,28176.0
120,3020,97,68.4,2,24,19,0,5,186.7,11900.0
164,3055,121,66.9,2,25,20,0,5,189.0,24565.0
98,2140,70,64.4,1,34,28,0,1,166.3,9258.0
122,2385,84,66.5,1,32,26,0,1,177.8,8845.0
90,1874,70,63.6,1,43,38,0,1,155.9,6295.0
122,2458,92,66.5,1,32,27,0,5,175.6,11248.0
110,2304,86,65.2,1,33,27,0,0,175.4,8845.0
152,3430,95,68.4,2,25,25,0,3,198.9,13860.0
98,2204,70,64.0,2,34,29,0,1,168.7,8238.0
70,2380,101,65.7,2,23,17,0,2,169.0,11845.0
122,2414,92,66.5,1,32,27,0,5,175.6,10898.0
156,2818,145,66.3,2,24,19,0,6,173.2,12764.0
161,3151,156,66.5,2,24,19,0,5,187.8,15750.0
92,2290,62,63.6,0,32,27,0,1,169.7,7898.0
91,1945,68,64.2,1,38,31,0,1,166.8,6695.0
97,1951,69,63.8,1,37,31,0,1,165.3,7299.0
108,2340,94,65.4,1,32,26,0,5,172.0,9960.0
181,3139,200,67.9,2,23,17,0,5,170.7,19699.0
121,2658,110,66.5,1,28,21,0,5,186.6,11850.0
110,2293,100,66.0,1,31,25,0,1,169.1,10345.0
209,3505,182,70.9,2,20,15,0,5,197.0,36880.0
136,2507,110,66.3,1,25,19,0,5,177.3,15250.0
92,1985,62,63.6,1,39,35,0,1,158.7,5348.0
130,3157,162,67.2,2,22,17,0,5,188.8,18950.0
258,4066,176,69.6,2,19,15,0,5,199.6,35550.0
98,2265,112,64.0,2,29,26,0,5,168.7,9298.0
134,2700,72,66.1,2,39,31,0,3,175.0,18344.0
152,3485,95,68.4,2,25,25,0,3,198.9,17075.0
91,1950,68,64.2,1,38,31,0,1,166.8,7395.0
97,2024,69,63.8,1,37,31,0,1,170.2,7349.0
98,2191,68,63.8,1,38,31,0,1,167.3,7609.0
97,1889,69,63.8,1,37,31,0,1,165.3,5499.0
146,2714,116,65.6,2,30,24,0,5,176.2,11549.0
